,,psnr,psnr,psnr,psnr,psnr,param_efficiency,param_efficiency
,,count,mean,std,min,max,mean,std
model_name,decoder,,,,,,,
GA-Planes(add+plane),linear,45,16.6213,2.0649,14.2303,19.2206,0.001,0.001
GA-Planes(add+plane),nonconvex,45,22.3102,3.5443,17.0476,28.4877,0.001,0.0009
GA-Planes(multiply+plane),linear,45,22.2479,2.6184,19.0847,25.8025,0.0014,0.0013
GA-Planes(multiply+plane),nonconvex,45,27.6659,2.608,23.1295,31.0017,0.0013,0.0011
K-planes(add),linear,45,12.0801,0.0204,12.0519,12.0979,0.002,0.0016
K-planes(add),nonconvex,45,21.6022,1.4268,19.2125,23.5241,0.002,0.0013
K-planes(multiply),linear,45,22.1431,2.6641,18.9855,26.1979,0.0034,0.0025
K-planes(multiply),nonconvex,45,27.4298,2.4187,23.862,32.2509,0.0025,0.0015
NeRF(nonconvex),nonconvex,15,11.5759,1.3075,10.6827,13.3623,0.0009,0.0008
NeRF(siren),siren,15,12.4094,0.4116,11.917,12.8909,0.0016,0.0015
