,,psnr,psnr,psnr,psnr,param_count,param_efficiency,param_efficiency,training_time,training_time
,,mean,std,min,max,mean,mean,std,mean,std
model_name,decoder,,,,,,,,,
GA-Planes(add+plane),linear,16.6213,2.0649,14.2303,19.2206,44676.5556,0.001,0.001,414.3175,274.0599
GA-Planes(add+plane),nonconvex,22.3102,3.5443,17.0476,28.4877,49508.5556,0.001,0.0009,441.2794,215.2888
GA-Planes(multiply+plane),linear,22.2479,2.6184,19.0847,25.8025,44676.5556,0.0014,0.0013,396.8413,215.7787
GA-Planes(multiply+plane),nonconvex,27.6659,2.608,23.1295,31.0017,49508.5556,0.0013,0.0011,433.6653,247.9222
K-planes(add),linear,12.0801,0.0204,12.0519,12.0979,11225.8889,0.002,0.0016,226.4422,122.392
K-planes(add),nonconvex,21.6022,1.4268,19.2125,23.5241,16057.8889,0.002,0.0013,252.6416,130.7731
K-planes(multiply),linear,22.1431,2.6641,18.9855,26.1979,11225.8889,0.0034,0.0025,230.2786,124.7302
K-planes(multiply),nonconvex,27.4298,2.4187,23.862,32.2509,16057.8889,0.0025,0.0015,269.2534,138.7808
NeRF(nonconvex),nonconvex,11.5759,1.3075,10.6827,13.3623,26859.6667,0.0009,0.0008,101.6409,47.6598
NeRF(siren),siren,12.4094,0.4116,11.917,12.8909,22027.6667,0.0016,0.0015,102.8716,57.1946
